week_ending_date,Hokkaido_Observed,Aomori_Observed,Iwate_Observed,Miyagi_Observed,Akita_Observed,Yamagata_Observed,Fukushima_Observed,Ibaraki_Observed,Tochigi_Observed,Gunma_Observed,Saitama_Observed,Chiba_Observed,Tokyo_Observed,Kanagawa_Observed,Niigata_Observed,Toyama_Observed,Ishikawa_Observed,Fukui_Observed,Yamanashi_Observed,Nagano_Observed,Gifu_Observed,Shizuoka_Observed,Aichi_Observed,Mie_Observed,Shiga_Observed,Kyoto_Observed,Osaka_Observed,Hyogo_Observed,Nara_Observed,Wakayama_Observed,Tottori_Observed,Shimane_Observed,Okayama_Observed,Hiroshima_Observed,Yamaguchi_Observed,Tokushima_Observed,Kagawa_Observed,Ehime_Observed,Kochi_Observed,Fukuoka_Observed,Saga_Observed,Nagasaki_Observed,Kumamoto_Observed,Oita_Observed,Miyazaki_Observed,Kagoshima_Observed,Okinawa_Observed,Japan_Observed,Hokkaido_Estimated,Aomori_Estimated,Iwate_Estimated,Miyagi_Estimated,Akita_Estimated,Yamagata_Estimated,Fukushima_Estimated,Ibaraki_Estimated,Tochigi_Estimated,Gunma_Estimated,Saitama_Estimated,Chiba_Estimated,Tokyo_Estimated,Kanagawa_Estimated,Niigata_Estimated,Toyama_Estimated,Ishikawa_Estimated,Fukui_Estimated,Yamanashi_Estimated,Nagano_Estimated,Gifu_Estimated,Shizuoka_Estimated,Aichi_Estimated,Mie_Estimated,Shiga_Estimated,Kyoto_Estimated,Osaka_Estimated,Hyogo_Estimated,Nara_Estimated,Wakayama_Estimated,Tottori_Estimated,Shimane_Estimated,Okayama_Estimated,Hiroshima_Estimated,Yamaguchi_Estimated,Tokushima_Estimated,Kagawa_Estimated,Ehime_Estimated,Kochi_Estimated,Fukuoka_Estimated,Saga_Estimated,Nagasaki_Estimated,Kumamoto_Estimated,Oita_Estimated,Miyazaki_Estimated,Kagoshima_Estimated,Okinawa_Estimated,Japan_Estimated,Hokkaido_95Upper,Aomori_95Upper,Iwate_95Upper,Miyagi_95Upper,Akita_95Upper,Yamagata_95Upper,Fukushima_95Upper,Ibaraki_95Upper,Tochigi_95Upper,Gunma_95Upper,Saitama_95Upper,Chiba_95Upper,Tokyo_95Upper,Kanagawa_95Upper,Niigata_95Upper,Toyama_95Upper,Ishikawa_95Upper,Fukui_95Upper,Yamanashi_95Upper,Nagano_95Upper,Gifu_95Upper,Shizuoka_95Upper,Aichi_95Upper,Mie_95Upper,Shiga_95Upper,Kyoto_95Upper,Osaka_95Upper,Hyogo_95Upper,Nara_95Upper,Wakayama_95Upper,Tottori_95Upper,Shimane_95Upper,Okayama_95Upper,Hiroshima_95Upper,Yamaguchi_95Upper,Tokushima_95Upper,Kagawa_95Upper,Ehime_95Upper,Kochi_95Upper,Fukuoka_95Upper,Saga_95Upper,Nagasaki_95Upper,Kumamoto_95Upper,Oita_95Upper,Miyazaki_95Upper,Kagoshima_95Upper,Okinawa_95Upper,Japan_95Upper,Hokkaido_95Lower,Aomori_95Lower,Iwate_95Lower,Miyagi_95Lower,Akita_95Lower,Yamagata_95Lower,Fukushima_95Lower,Ibaraki_95Lower,Tochigi_95Lower,Gunma_95Lower,Saitama_95Lower,Chiba_95Lower,Tokyo_95Lower,Kanagawa_95Lower,Niigata_95Lower,Toyama_95Lower,Ishikawa_95Lower,Fukui_95Lower,Yamanashi_95Lower,Nagano_95Lower,Gifu_95Lower,Shizuoka_95Lower,Aichi_95Lower,Mie_95Lower,Shiga_95Lower,Kyoto_95Lower,Osaka_95Lower,Hyogo_95Lower,Nara_95Lower,Wakayama_95Lower,Tottori_95Lower,Shimane_95Lower,Okayama_95Lower,Hiroshima_95Lower,Yamaguchi_95Lower,Tokushima_95Lower,Kagawa_95Lower,Ehime_95Lower,Kochi_95Lower,Fukuoka_95Lower,Saga_95Lower,Nagasaki_95Lower,Kumamoto_95Lower,Oita_95Lower,Miyazaki_95Lower,Kagoshima_95Lower,Okinawa_95Lower,Japan_95Lower
01jan2017,71,25,40,44,21,27,41,54,35,35,87,94,162,151,58,14,21,12,19,49,44,106,132,31,17,37,79,110,20,24,17,26,35,57,25,15,22,37,11,60,7,26,41,22,19,21,10,2111,76,27,27,50,25,36,51,53,38,35,91,94,177,154,61,18,19,17,22,58,43,99,117,42,21,40,91,84,22,27,15,22,36,56,26,18,22,36,16,59,13,23,40,21,21,37,18,2167,91,35,36,62,33,46,63,65,49,45,107,111,201,176,75,25,27,24,30,71,55,116,135,54,28,50,108,100,31,35,22,30,47,69,35,26,30,47,22,72,19,32,51,29,29,48,26,2303,62,19,18,39,17,26,39,41,28,26,76,79,154,132,48,11,12,11,15,46,32,83,100,31,13,30,76,69,15,18,9,14,27,44,18,12,14,27,9,46,7,16,30,14,14,28,12,2036
08jan2017,69,24,25,39,30,23,32,61,47,26,80,78,186,149,49,24,19,15,13,57,41,97,138,40,15,50,110,79,19,20,12,19,49,52,16,19,26,41,15,54,19,16,42,21,14,42,13,2125,76,27,27,50,25,36,51,53,39,35,92,96,180,156,61,18,19,18,22,57,44,100,119,41,20,40,92,86,23,26,16,22,37,57,27,18,22,37,16,60,13,24,40,21,22,38,19,2189,91,36,36,62,33,46,63,65,49,45,109,113,203,178,75,25,27,25,30,70,56,116,137,52,27,51,109,103,32,35,23,31,48,71,36,25,30,47,22,73,19,32,51,29,30,48,27,2322,62,19,19,38,17,26,40,41,29,25,77,80,157,134,49,11,12,11,15,45,34,84,101,30,13,30,77,71,14,18,9,15,28,45,18,12,15,27,9,47,7,16,30,14,15,28,12,2060
15jan2017,94,24,30,46,20,32,39,66,42,26,78,92,186,142,70,27,15,18,22,53,54,104,117,32,17,38,107,87,24,25,17,27,36,44,20,25,18,35,9,57,11,24,37,18,14,33,12,2164,77,26,28,49,25,35,51,54,38,36,92,95,179,157,61,18,19,18,23,58,44,101,119,40,20,40,93,87,23,26,16,23,38,58,26,19,22,38,15,59,13,24,41,20,22,36,19,2196,92,34,37,61,33,45,63,66,48,46,108,111,203,179,75,25,27,25,31,71,55,118,138,52,27,51,109,103,32,35,24,31,48,71,35,27,30,48,22,72,19,32,51,27,30,46,27,2330,63,18,20,38,17,26,39,42,28,26,76,79,157,135,48,11,12,11,15,46,33,85,101,29,13,30,77,72,15,18,10,15,28,45,18,12,15,28,9,47,8,16,31,13,14,27,12,2066
22jan2017,89,32,37,58,22,21,44,51,47,38,89,85,167,146,57,22,20,28,28,58,46,101,128,50,18,40,104,91,20,18,14,18,46,46,33,14,25,38,19,51,12,21,40,16,22,43,14,2227,78,26,27,50,25,35,51,54,39,36,90,96,179,158,60,18,20,18,23,58,46,102,122,42,20,40,92,90,22,26,17,23,37,57,27,20,23,38,14,60,14,24,42,20,21,37,19,2207,93,35,37,62,33,45,63,66,49,46,107,113,201,181,74,25,28,26,31,71,58,118,141,53,28,51,108,106,31,35,24,31,48,70,35,28,31,49,21,73,20,32,53,28,29,48,27,2332,64,18,19,39,17,26,39,42,29,26,75,81,157,136,47,11,13,12,15,46,35,85,103,31,13,30,76,74,14,18,10,15,28,45,18,13,15,29,9,47,8,16,32,13,14,28,13,2084
29jan2017,64,21,30,35,27,25,33,59,41,22,65,97,182,144,60,19,24,12,28,57,52,111,139,42,16,35,95,97,28,21,21,17,53,73,27,16,22,48,9,49,10,12,42,17,15,31,15,2158,77,27,27,50,24,35,50,54,38,36,88,96,176,157,60,19,20,17,24,58,47,101,121,42,19,40,92,90,22,26,17,22,37,56,27,20,23,38,15,59,13,24,41,20,22,36,19,2193,92,35,36,62,32,45,62,67,49,47,104,113,199,179,74,27,28,24,33,71,59,118,139,53,27,50,108,106,31,35,24,29,47,69,36,27,31,49,21,72,20,32,52,28,30,46,27,2321,63,18,18,38,16,26,39,42,28,27,73,80,154,136,47,12,12,11,17,45,35,85,103,31,12,30,77,74,14,18,11,14,27,44,19,13,16,29,9,47,8,16,31,13,14,26,13,2067
05feb2017,59,24,32,27,26,32,35,56,40,33,82,82,194,134,60,16,19,17,25,57,51,91,130,37,19,42,111,82,18,33,13,17,38,58,30,14,28,50,8,69,19,27,38,18,19,32,9,2151,76,26,26,50,24,35,49,54,37,36,88,95,175,155,60,19,20,17,24,57,47,102,123,42,19,41,91,88,22,27,17,21,35,56,27,19,23,38,15,60,13,24,42,20,22,34,19,2179,91,34,35,62,32,46,61,67,48,46,104,111,198,177,73,27,28,24,33,69,59,119,141,53,27,51,107,105,31,36,25,29,45,69,36,26,31,49,22,73,19,33,53,27,30,44,27,2313,62,18,18,39,16,26,38,42,28,26,73,79,153,134,47,12,12,11,16,45,35,85,105,31,12,30,75,73,14,19,11,14,26,44,19,12,15,28,9,47,8,16,32,13,14,24,12,2047
12feb2017,68,17,24,49,29,38,42,46,41,35,76,96,214,155,63,13,19,19,18,64,47,104,139,40,30,30,95,85,21,29,18,26,37,38,16,12,24,34,9,60,14,21,41,22,31,36,12,2197,77,27,26,49,23,35,49,56,37,36,86,94,174,153,61,21,19,16,23,57,47,104,121,41,19,40,92,89,22,27,18,21,35,54,28,19,23,38,16,59,13,23,40,20,21,35,20,2169,92,35,35,60,32,45,61,68,47,46,102,111,197,175,75,29,27,23,31,69,59,121,139,52,27,51,108,105,31,36,25,29,45,67,37,26,31,48,23,72,20,31,51,28,29,45,27,2304,63,18,18,38,16,26,38,44,27,26,70,78,151,132,48,13,12,10,15,45,36,87,103,30,12,30,76,73,14,19,11,14,26,41,19,12,15,28,10,46,8,16,30,13,14,26,13,2038
19feb2017,66,22,26,39,32,30,46,53,43,37,76,89,194,141,52,25,26,8,20,49,35,111,120,52,25,45,87,99,17,29,24,24,42,44,30,14,21,31,11,45,9,29,36,21,19,34,15,2143,76,25,26,49,23,34,48,55,36,36,83,92,171,149,61,21,18,16,22,56,46,102,121,41,18,40,89,87,22,27,17,21,36,53,28,18,23,37,16,57,13,23,40,19,21,35,18,2141,91,34,35,60,31,44,60,67,46,46,98,108,194,171,75,29,26,22,30,69,58,119,140,52,26,50,105,103,31,35,25,29,46,66,37,26,31,47,23,69,20,32,51,27,29,45,26,2274,62,17,18,38,15,25,37,43,26,26,68,76,149,129,48,13,11,9,15,44,35,86,102,30,12,30,74,72,14,18,11,14,26,41,19,12,15,27,10,45,8,16,30,12,14,26,12,2012
26feb2017,72,26,27,54,24,29,33,57,41,37,78,93,175,146,47,21,33,14,19,59,33,119,108,47,21,32,84,91,28,31,19,25,37,37,25,20,28,42,11,60,9,24,38,20,16,47,18,2155,76,25,26,48,22,34,49,54,35,35,82,91,169,145,60,20,19,15,22,57,44,101,117,41,19,38,87,86,22,27,17,20,35,50,27,18,24,36,16,56,13,23,39,19,20,35,18,2100,91,33,35,59,30,43,61,67,45,45,97,107,191,167,73,28,26,21,30,70,56,118,136,52,27,48,103,102,31,36,24,28,44,62,35,25,32,47,23,68,19,31,50,26,28,45,25,2227,62,17,18,37,15,24,37,42,25,25,68,75,147,124,47,13,12,9,15,45,33,85,100,31,12,28,72,70,14,19,10,13,25,39,18,11,16,27,10,44,7,16,29,12,13,25,11,1975
05mar2017,66,33,27,36,26,31,40,42,24,28,82,92,193,144,63,24,23,11,18,50,39,88,120,46,10,36,101,74,13,31,17,24,40,38,17,17,28,29,9,45,9,28,40,21,17,35,18,2043,76,25,25,47,22,33,46,54,34,34,81,91,166,144,60,21,19,14,22,56,44,100,116,40,19,38,86,84,22,28,17,20,34,50,27,17,24,35,16,56,12,23,39,19,20,36,17,2082,91,34,34,59,30,43,58,67,44,44,97,107,188,166,74,29,27,21,30,69,56,116,135,52,27,48,102,100,30,36,24,28,44,62,36,24,33,45,23,69,18,31,50,26,28,46,24,2215,62,17,17,36,15,24,36,43,25,25,67,76,146,124,47,14,12,8,15,44,32,84,98,30,12,28,71,69,14,19,10,13,25,38,19,10,16,26,10,44,7,16,29,12,13,26,11,1953
