week_ending_date,Hokkaido_Observed,Aomori_Observed,Iwate_Observed,Miyagi_Observed,Akita_Observed,Yamagata_Observed,Fukushima_Observed,Ibaraki_Observed,Tochigi_Observed,Gunma_Observed,Saitama_Observed,Chiba_Observed,Tokyo_Observed,Kanagawa_Observed,Niigata_Observed,Toyama_Observed,Ishikawa_Observed,Fukui_Observed,Yamanashi_Observed,Nagano_Observed,Gifu_Observed,Shizuoka_Observed,Aichi_Observed,Mie_Observed,Shiga_Observed,Kyoto_Observed,Osaka_Observed,Hyogo_Observed,Nara_Observed,Wakayama_Observed,Tottori_Observed,Shimane_Observed,Okayama_Observed,Hiroshima_Observed,Yamaguchi_Observed,Tokushima_Observed,Kagawa_Observed,Ehime_Observed,Kochi_Observed,Fukuoka_Observed,Saga_Observed,Nagasaki_Observed,Kumamoto_Observed,Oita_Observed,Miyazaki_Observed,Kagoshima_Observed,Okinawa_Observed,Japan_Observed,Hokkaido_Estimated,Aomori_Estimated,Iwate_Estimated,Miyagi_Estimated,Akita_Estimated,Yamagata_Estimated,Fukushima_Estimated,Ibaraki_Estimated,Tochigi_Estimated,Gunma_Estimated,Saitama_Estimated,Chiba_Estimated,Tokyo_Estimated,Kanagawa_Estimated,Niigata_Estimated,Toyama_Estimated,Ishikawa_Estimated,Fukui_Estimated,Yamanashi_Estimated,Nagano_Estimated,Gifu_Estimated,Shizuoka_Estimated,Aichi_Estimated,Mie_Estimated,Shiga_Estimated,Kyoto_Estimated,Osaka_Estimated,Hyogo_Estimated,Nara_Estimated,Wakayama_Estimated,Tottori_Estimated,Shimane_Estimated,Okayama_Estimated,Hiroshima_Estimated,Yamaguchi_Estimated,Tokushima_Estimated,Kagawa_Estimated,Ehime_Estimated,Kochi_Estimated,Fukuoka_Estimated,Saga_Estimated,Nagasaki_Estimated,Kumamoto_Estimated,Oita_Estimated,Miyazaki_Estimated,Kagoshima_Estimated,Okinawa_Estimated,Japan_Estimated,Hokkaido_95Upper,Aomori_95Upper,Iwate_95Upper,Miyagi_95Upper,Akita_95Upper,Yamagata_95Upper,Fukushima_95Upper,Ibaraki_95Upper,Tochigi_95Upper,Gunma_95Upper,Saitama_95Upper,Chiba_95Upper,Tokyo_95Upper,Kanagawa_95Upper,Niigata_95Upper,Toyama_95Upper,Ishikawa_95Upper,Fukui_95Upper,Yamanashi_95Upper,Nagano_95Upper,Gifu_95Upper,Shizuoka_95Upper,Aichi_95Upper,Mie_95Upper,Shiga_95Upper,Kyoto_95Upper,Osaka_95Upper,Hyogo_95Upper,Nara_95Upper,Wakayama_95Upper,Tottori_95Upper,Shimane_95Upper,Okayama_95Upper,Hiroshima_95Upper,Yamaguchi_95Upper,Tokushima_95Upper,Kagawa_95Upper,Ehime_95Upper,Kochi_95Upper,Fukuoka_95Upper,Saga_95Upper,Nagasaki_95Upper,Kumamoto_95Upper,Oita_95Upper,Miyazaki_95Upper,Kagoshima_95Upper,Okinawa_95Upper,Japan_95Upper,Hokkaido_95Lower,Aomori_95Lower,Iwate_95Lower,Miyagi_95Lower,Akita_95Lower,Yamagata_95Lower,Fukushima_95Lower,Ibaraki_95Lower,Tochigi_95Lower,Gunma_95Lower,Saitama_95Lower,Chiba_95Lower,Tokyo_95Lower,Kanagawa_95Lower,Niigata_95Lower,Toyama_95Lower,Ishikawa_95Lower,Fukui_95Lower,Yamanashi_95Lower,Nagano_95Lower,Gifu_95Lower,Shizuoka_95Lower,Aichi_95Lower,Mie_95Lower,Shiga_95Lower,Kyoto_95Lower,Osaka_95Lower,Hyogo_95Lower,Nara_95Lower,Wakayama_95Lower,Tottori_95Lower,Shimane_95Lower,Okayama_95Lower,Hiroshima_95Lower,Yamaguchi_95Lower,Tokushima_95Lower,Kagawa_95Lower,Ehime_95Lower,Kochi_95Lower,Fukuoka_95Lower,Saga_95Lower,Nagasaki_95Lower,Kumamoto_95Lower,Oita_95Lower,Miyazaki_95Lower,Kagoshima_95Lower,Okinawa_95Lower,Japan_95Lower
01jan2017,18,3,4,5,3,1,9,8,5,11,13,22,30,25,5,4,2,2,3,2,3,8,16,4,4,3,30,17,1,2,1,2,2,10,3,3,2,5,1,11,6,1,6,2,0,4,7,329,15,5,5,8,4,4,6,10,6,7,22,20,40,26,8,4,0,3,3,7,7,12,20,5,5,8,28,16,5,4,2,3,6,8,5,3,3,5,2,15,3,5,6,4,5,5,6,375,22,8,9,13,7,7,10,15,10,12,30,27,51,35,13,7,0,5,5,11,11,17,28,9,8,13,37,23,8,8,5,5,10,13,9,6,6,9,5,21,6,8,10,7,8,9,10,426,9,1,2,4,1,1,2,5,2,3,15,13,29,17,3,1,0,0,0,3,3,6,12,2,1,4,19,10,1,1,0,0,2,3,1,0,0,2,0,9,0,1,2,1,1,2,2,326
08jan2017,18,4,6,8,4,4,14,10,2,7,23,15,43,27,9,5,3,2,2,5,4,9,12,9,2,4,20,14,3,2,1,3,6,6,4,3,1,2,1,14,3,3,5,6,4,6,2,360,16,5,5,8,4,3,6,10,7,8,23,21,40,26,8,4,3,3,3,6,7,12,21,6,5,8,30,16,4,4,2,3,6,8,5,3,4,5,3,15,3,5,6,4,5,5,6,384,23,9,9,12,7,6,10,16,11,13,31,29,51,35,13,7,6,5,6,10,12,18,30,10,9,13,40,23,8,8,5,5,10,13,9,6,7,9,6,22,5,9,10,7,9,9,10,441,10,1,2,3,1,0,2,5,3,3,15,14,29,17,3,1,0,0,0,2,3,7,13,2,1,4,20,10,1,1,0,0,2,3,2,0,1,2,0,9,0,1,2,1,2,2,2,330
15jan2017,14,4,2,6,7,2,2,6,6,9,23,19,44,28,3,4,5,2,2,3,5,10,26,6,6,8,24,20,2,3,2,2,4,10,5,2,2,10,1,22,3,1,4,8,7,5,7,396,17,5,5,8,4,4,7,10,7,8,23,22,40,26,8,4,3,3,3,6,7,12,20,5,5,8,30,16,4,5,2,3,6,8,5,3,4,6,0,15,3,5,6,4,5,5,6,382,24,8,9,13,7,7,11,15,11,13,32,30,51,35,13,7,5,5,5,10,12,18,29,10,8,13,40,23,8,8,5,5,10,13,8,6,7,9,0,22,5,9,10,7,8,9,10,437,10,1,2,4,1,1,3,5,3,3,16,14,29,17,3,1,0,0,0,2,3,7,12,2,1,4,21,10,1,1,0,0,2,3,1,0,1,2,0,9,0,1,2,1,1,1,2,330
22jan2017,19,4,5,10,4,3,6,15,6,4,22,22,31,23,7,2,7,3,1,6,7,16,24,6,3,6,24,19,4,3,1,3,3,9,4,2,0,5,2,13,0,2,4,5,4,5,6,380,17,5,5,8,4,4,7,10,7,8,24,21,40,25,8,4,3,3,3,6,7,12,20,6,4,9,31,16,4,5,2,3,6,8,5,3,4,5,2,16,2,5,6,4,5,5,6,384,24,8,8,13,7,8,11,15,11,13,32,28,51,33,13,7,6,6,6,10,12,18,28,10,8,14,41,23,8,8,5,5,10,13,8,6,7,9,5,23,5,8,10,7,8,8,10,433,10,1,1,4,1,1,3,5,3,3,16,13,29,17,4,1,0,0,0,2,3,7,12,2,1,4,21,10,1,1,0,0,2,4,1,1,1,2,0,10,0,1,2,1,1,1,2,336
29jan2017,17,3,7,8,4,4,11,13,9,5,18,21,26,25,8,7,2,3,3,12,6,6,27,6,2,6,28,21,4,6,1,2,5,13,4,2,5,2,1,14,2,7,7,2,5,2,4,396,17,5,5,9,4,4,7,10,7,8,24,21,41,25,9,4,3,3,3,6,8,12,21,6,4,8,30,16,4,5,2,3,6,9,5,3,4,5,3,17,3,5,6,3,5,5,6,390,24,8,9,14,8,7,11,15,11,13,32,29,52,34,14,7,6,6,6,10,12,18,29,11,8,13,40,23,8,8,5,5,10,14,8,6,7,9,6,24,5,9,10,6,8,8,10,435,10,1,2,4,1,1,3,5,3,3,16,14,30,17,4,1,0,0,0,2,3,6,13,2,1,4,21,10,1,1,0,0,2,4,1,1,1,2,0,10,0,1,2,1,1,1,2,346
05feb2017,16,3,5,9,5,2,9,14,13,10,25,19,56,26,7,3,4,2,2,3,6,7,21,6,3,7,25,25,3,2,1,3,8,8,4,5,2,7,3,14,2,4,7,1,6,9,3,425,17,5,5,9,5,4,7,10,7,8,24,22,41,26,9,4,3,3,3,6,7,12,21,7,5,8,30,17,4,5,2,3,6,9,5,3,4,6,3,17,3,5,6,3,5,5,6,399,24,9,9,14,8,7,12,16,12,13,32,30,52,35,14,8,6,6,6,10,12,18,30,11,9,12,40,24,8,8,5,5,10,14,8,6,7,10,5,24,6,9,10,6,9,9,10,451,10,1,2,4,1,1,3,5,3,3,16,14,31,17,4,1,0,0,0,2,3,6,13,2,1,3,21,11,1,1,0,0,2,4,1,1,1,2,0,10,0,1,2,1,2,1,2,350
12feb2017,19,6,2,6,3,4,6,4,7,5,27,12,31,24,11,3,1,1,4,6,4,15,15,3,4,6,36,17,2,5,1,0,4,11,6,2,5,4,4,13,0,6,2,3,4,5,5,364,17,5,6,8,5,4,8,10,7,8,24,22,41,26,9,4,3,3,3,6,7,12,21,7,5,8,30,18,4,5,0,3,6,8,5,3,3,6,2,17,0,5,6,4,5,5,6,405,24,8,9,13,8,8,12,16,11,13,33,30,52,36,15,8,6,6,6,10,12,18,29,12,9,13,40,25,8,8,0,6,10,13,8,7,7,10,5,24,0,9,10,7,9,9,10,462,10,1,2,4,1,1,3,5,3,4,16,14,30,17,4,1,1,0,0,2,3,7,13,3,2,4,21,11,1,1,0,0,2,4,1,1,1,2,0,10,0,2,2,1,2,2,2,350
19feb2017,19,6,7,9,2,8,8,9,6,1,23,14,43,14,12,4,7,2,0,8,9,14,25,9,3,9,39,13,4,1,2,2,4,6,3,5,2,6,0,12,8,4,7,5,3,4,0,401,17,4,6,8,5,4,8,10,7,8,24,22,41,26,9,4,4,3,3,7,7,13,20,7,5,8,30,18,4,5,2,3,6,9,5,3,4,6,3,17,3,5,7,4,5,5,5,404,24,8,10,13,8,8,12,16,11,14,32,30,52,35,14,8,7,6,6,11,12,18,29,12,9,13,40,25,7,8,5,6,10,14,8,6,7,10,5,24,6,9,11,7,9,9,9,463,10,1,2,4,1,1,3,5,3,4,16,14,31,17,4,1,1,1,0,3,3,7,12,3,1,4,20,11,1,1,0,0,2,4,1,1,1,2,0,10,0,2,3,1,2,2,2,348
26feb2017,19,3,5,7,4,4,6,12,7,5,35,14,39,20,6,4,1,1,2,5,12,15,19,4,4,6,28,15,2,5,2,3,5,7,7,2,3,9,3,17,4,3,10,4,3,8,4,403,17,5,6,8,5,4,8,11,7,9,23,21,41,26,9,5,4,3,3,7,7,13,20,7,5,8,29,18,4,5,2,3,6,9,5,3,3,6,2,17,3,5,7,4,5,5,5,405,24,8,10,13,8,8,13,16,11,14,30,29,52,35,14,8,7,6,6,11,11,18,29,12,9,13,39,25,8,8,5,6,10,15,8,6,7,10,5,24,6,9,11,7,9,9,9,462,10,1,2,4,1,1,4,5,3,4,15,14,31,18,4,1,1,0,1,3,3,7,12,3,1,4,20,11,1,1,0,0,2,4,1,1,1,2,0,11,0,2,3,1,1,2,2,350
05mar2017,19,5,7,12,3,4,3,12,6,8,20,17,44,25,10,2,3,2,1,5,13,17,19,10,6,10,30,16,4,5,1,3,7,11,5,2,7,5,2,29,2,4,4,3,0,9,2,434,17,5,6,8,5,4,8,11,7,9,23,22,42,28,10,5,4,3,4,8,7,13,21,7,5,8,29,18,4,5,2,3,7,10,5,3,3,6,3,18,3,5,7,4,5,5,5,418,24,9,11,13,9,8,13,16,11,14,32,29,53,37,15,9,7,6,7,12,12,19,29,12,9,13,38,26,7,8,5,6,11,15,8,6,6,10,5,25,6,9,11,7,9,9,9,469,10,2,2,4,2,1,4,5,3,4,16,14,31,19,4,2,1,1,1,3,3,7,13,3,2,4,20,12,1,1,0,1,3,5,1,0,0,2,0,11,0,2,3,1,2,2,2,369
