age	death_rate
0	0.00184
1	0.00023
2	0.00016
3	0.00011
4	0.00008
5	0.00006
6	0.00006
7	0.00006
8	0.00005
9	0.00005
10	0.00006
11	0.00007
12	0.00009
13	0.00011
14	0.00014
15	0.00018
16	0.00023
17	0.00028
18	0.00033
19	0.00038
20	0.00043
21	0.00048
22	0.00051
23	0.00051
24	0.00050
25	0.00049
26	0.00049
27	0.00049
28	0.00050
29	0.00050
30	0.00052
31	0.00056
32	0.00060
33	0.00065
34	0.00068
35	0.00071
36	0.00072
37	0.00074
38	0.00078
39	0.00085
40	0.00093
41	0.00103
42	0.00113
43	0.00124
44	0.00136
45	0.00149
46	0.00164
47	0.00180
48	0.00198
49	0.00221
50	0.00245
51	0.00269
52	0.00294
53	0.00322
54	0.00356
55	0.00394
56	0.00435
57	0.00475
58	0.00517
59	0.00565
60	0.00623
61	0.00690
62	0.00764
63	0.00841
64	0.00923
65	0.01011
66	0.01113
67	0.01233
68	0.01369
69	0.01518
70	0.01676
71	0.01830
72	0.01990
73	0.02175
74	0.02393
75	0.02642
76	0.02913
77	0.03207
78	0.03521
79	0.03894
80	0.04344
81	0.04871
82	0.05481
83	0.06168
84	0.06955
85	0.07856
86	0.08885
87	0.10034
88	0.11306
89	0.12677
90	0.14104
91	0.15353
92	0.16870
93	0.18531
94	0.20345
95	0.22321
96	0.24467
97	0.26791
98	0.29300
99	0.31997
100	0.34884
101	0.37960
102	0.41220
103	0.44656
104	0.48251
105	1.00000
