age	death_rate
0	0.00172
1	0.00016
2	0.00012
3	0.00009
4	0.00007
5	0.00007
6	0.00007
7	0.00006
8	0.00006
9	0.00005
10	0.00005
11	0.00006
12	0.00007
13	0.00008
14	0.00009
15	0.00011
16	0.00014
17	0.00017
18	0.00019
19	0.00020
20	0.00022
21	0.00023
22	0.00024
23	0.00025
24	0.00025
25	0.00025
26	0.00026
27	0.00026
28	0.00027
29	0.00028
30	0.00028
31	0.00028
32	0.00029
33	0.00031
34	0.00035
35	0.00039
36	0.00043
37	0.00047
38	0.00050
39	0.00054
40	0.00058
41	0.00063
42	0.00068
43	0.00074
44	0.00082
45	0.00091
46	0.00100
47	0.00109
48	0.00119
49	0.00132
50	0.00145
51	0.00159
52	0.00170
53	0.00181
54	0.00193
55	0.00205
56	0.00219
57	0.00234
58	0.00248
59	0.00263
60	0.00281
61	0.00305
62	0.00333
63	0.00360
64	0.00390
65	0.00422
66	0.00459
67	0.00503
68	0.00554
69	0.00612
70	0.00679
71	0.00750
72	0.00825
73	0.00910
74	0.01007
75	0.01122
76	0.01258
77	0.01424
78	0.01618
79	0.01849
80	0.02117
81	0.02424
82	0.02786
83	0.03213
84	0.03713
85	0.04295
86	0.04968
87	0.05747
88	0.06669
89	0.07726
90	0.08880
91	0.10113
92	0.11446
93	0.12914
94	0.14481
95	0.16607
96	0.18745
97	0.21064
98	0.23573
99	0.26276
100	0.29177
101	0.32278
102	0.35576
103	0.39064
104	0.42732
105	1.00000
